"Year","flannel","jean","moleskin","velour","twill","gingham","leather","rayon","satin"," cotton","eyelet"," cotton.1","jacquard","angora","flax","nylon","canvas"," lace","velvet","cotton ","chino","cotton","mesh","silk ","silk","taffeta","chiffon","damask","cotton .1","mohair","lace","tweed"
1822,"9.359527783501984E-6","1.1112753448999475E-5","1.6183621527669137E-7","5.124813483761893E-7","7.1747388772666515E-6","1.1058808043907243E-6","4.720222945570165E-5","2.697270254611523E-8","4.0890617059910685E-5","1.888089178228066E-7","0.0","8.091810763834568E-8","0.0","0.0","2.0256499612132536E-5","0.0","0.0","4.0459053819172844E-7","1.769409287025159E-5","2.697270254611523E-7","2.427543229150371E-7","8.698696571122161E-5","4.585359432839589E-7","2.1578162036892183E-7","9.205783378989127E-5","5.664267534684199E-7","0.0","7.336575092543342E-6","3.2367243055338273E-7","1.1058808043907243E-6","6.414108665466201E-5","4.585359432839589E-6"
1823,"9.500317400941634E-6","1.7193825971029334E-5","2.622787012529899E-7","4.079890908379842E-7","7.664366492170704E-6","5.828415583399775E-7","4.3858827265083306E-5","5.8284155833997746E-8","5.356313921144393E-5","2.622787012529899E-7","0.0","1.4571038958499437E-7","0.0","5.8284155833997746E-8","2.456677168403005E-5","5.8284155833997746E-8","5.8284155833997746E-8","4.954153245889808E-7","1.4192191945578453E-5","4.6627324667198197E-7","2.3313662333599098E-7","1.114101638766867E-4","6.119836362569763E-7","1.7485246750199324E-7","1.1304212024003864E-4","8.742623375099662E-8","0.0","9.616885712609628E-6","5.245574025059798E-7","1.0782568829289584E-6","6.991184492288029E-5","3.001634025450884E-6"
1824,"8.602118622116487E-6","1.4813233026583983E-5","2.7482807099413697E-7","7.695185987835834E-7","8.684567043414727E-6","5.496561419882739E-7","4.8094912423973965E-5","1.0993122839765478E-7","4.287317907508537E-5","1.9237964969589586E-7","8.244842129824108E-8","5.496561419882739E-8","0.0","1.3741403549706848E-7","3.273202325540171E-5","0.0","5.496561419882739E-8","4.3972491359061914E-7","1.3631472321309192E-5","2.4734526389472325E-7","2.1986245679530957E-7","1.1545527262463693E-4","9.89381055578893E-7","3.2979368519296434E-7","1.7547772332975644E-4","1.9237964969589586E-7","0.0","6.870701774853424E-6","6.046217561871013E-7","1.3191747407718574E-6","6.617859949538818E-5","7.118047038748147E-6"
1825,"8.396882325005065E-6","1.3270782475796649E-5","1.3244293888020607E-7","4.7679457996874185E-7","7.787644806156117E-6","7.681690455051953E-7","3.703104571090562E-5","5.297717555208243E-8","4.28055578460826E-5","1.5893152665624728E-7","5.297717555208243E-8","5.827489310729068E-7","1.3244293888020607E-7","2.6488587776041214E-8","3.2554474376754655E-5","2.6488587776041214E-8","2.6488587776041214E-8","2.119087022083297E-7","1.0674900873744609E-5","2.913744655364534E-7","2.119087022083297E-7","1.4600509582153918E-4","7.946576332812365E-7","1.3244293888020607E-7","1.1636436610014906E-4","7.946576332812364E-8","2.6488587776041214E-8","6.463215417354057E-6","5.562603432968656E-7","1.2714522132499783E-6","6.992987172874881E-5","8.317416561676942E-6"
1826,"8.10182083315039E-6","1.2663549865305446E-5","6.890111558984202E-7","7.127701612742278E-8","8.695795967545578E-6","1.6156123655549164E-6","3.8750937767942184E-5","1.1879502687903796E-7","2.8439529434841687E-5","2.1383104838226834E-7","7.127701612742278E-8","5.702161290193823E-7","1.6631303763065316E-7","0.0","3.1718272176703136E-5","0.0","4.751801075161519E-8","2.6134905913388353E-7","8.672036962169771E-6","2.1383104838226834E-7","7.127701612742278E-8","1.617750676038739E-4","9.503602150323036E-7","4.276620967645367E-7","1.8981069394732685E-4","1.6631303763065316E-7","0.0","6.0110283600793205E-6","3.326260752613063E-7","2.851080645096911E-7","6.825962244469522E-5","6.7713165321051635E-6"
1827,"7.392093033471184E-6","9.26380889771549E-6","4.264669057771837E-7","1.4215563525906123E-7","7.155166974706082E-6","1.255708111455041E-6","3.4922901061976046E-5","4.738521175302041E-8","3.4164737673927713E-5","1.8954084701208165E-7","2.3692605876510206E-8","9.24011629183898E-7","4.738521175302041E-8","7.107781762953062E-8","2.203412346515449E-5","4.738521175302041E-8","0.0","4.501595116536939E-7","1.5731890302002777E-5","2.3692605876510206E-7","1.4215563525906123E-7","1.1580945752438188E-4","8.766264174308776E-7","1.4215563525906123E-7","1.0436592888602746E-4","1.1846302938255103E-7","2.3692605876510206E-8","4.928062022314123E-6","2.6061866464161225E-7","1.160937687949E-6","5.59382424744406E-5","1.0590594826800061E-5"
1828,"6.723810226435378E-6","9.165070554802683E-6","2.896410559079855E-7","2.482637622068447E-7","7.303092338251349E-6","1.2620074578847939E-6","3.370180571957917E-5","8.275458740228157E-8","3.2750127964452934E-5","1.8619782165513353E-7","8.275458740228157E-8","6.206594055171118E-7","6.206594055171118E-8","6.206594055171118E-7","2.7309013842752918E-5","2.0688646850570392E-8","1.0344323425285197E-7","4.137729370114079E-7","1.688193583006544E-5","8.068572271722453E-7","1.2413188110342236E-7","1.3100051185781174E-4","8.068572271722453E-7","2.0688646850570394E-7","1.1908385127188318E-4","2.482637622068447E-7","6.206594055171118E-8","5.441114121700014E-6","3.5170699645969666E-7","6.620366992182526E-7","5.741099501033284E-5","7.778931215814468E-6"
1829,"8.964397561525422E-6","1.3050495054685848E-5","6.671179580670082E-7","1.2508461713756403E-7","6.6086372721013E-6","1.4176256608923925E-6","3.7650469758406775E-5","2.0847436189594006E-8","4.165317750680882E-5","8.338974475837603E-8","0.0","5.420333409294442E-7","8.338974475837603E-8","4.169487237918801E-8","2.6726413195059515E-5","2.0847436189594006E-8","2.0847436189594006E-8","2.2932179808553408E-7","1.8241506665894756E-5","5.628807771190382E-7","2.2932179808553408E-7","1.4547340973098698E-4","7.505077028253842E-7","1.2508461713756403E-7","1.9361013989275952E-4","8.338974475837603E-8","8.338974475837603E-8","5.858129569275916E-6","4.169487237918801E-7","4.5864359617106815E-7","6.137485214216476E-5","1.0215243732901063E-5"
1830,"1.0215571499559427E-5","9.294013226086695E-6","4.50975325316443E-7","1.9607622839845348E-7","6.392085045789584E-6","3.6470178482112347E-6","4.5391646874241983E-5","5.8822868519536043E-8","2.4666389532525448E-5","2.1568385123829883E-7","1.9607622839845348E-8","2.1568385123829883E-7","1.9607622839845348E-8","1.9607622839845348E-8","2.2646804380021378E-5","1.9607622839845348E-8","3.9215245679690696E-8","2.1568385123829883E-7","2.17056384837088E-5","9.999887648321127E-7","2.7450671975783487E-7","1.3476319177825708E-4","8.4312778211335E-7","9.803811419922674E-8","1.058419480894852E-4","3.9215245679690696E-8","7.843049135938139E-8","5.0587666926801E-6","1.2548878617501023E-6","4.3136770247659765E-7","5.872483040533682E-5","6.4116926686294285E-6"
1831,"1.1165762556262883E-5","9.248973317437754E-6","6.699457533757729E-7","2.79144063906572E-7","6.848334367841234E-6","2.8844886603679113E-6","3.2064348140734906E-5","5.582881278131441E-8","3.1803813681088775E-5","1.4887683408350508E-7","1.8609604260438136E-8","7.443841704175254E-8","0.0","1.3026722982306697E-7","2.1140510439857724E-5","5.582881278131441E-8","5.582881278131441E-8","3.3497287668788646E-7","1.8423508217833756E-5","7.816033789384017E-7","7.443841704175254E-8","1.282387829586792E-4","8.374321917197162E-7","1.3026722982306697E-7","1.0121763757252302E-4","9.304802130219069E-8","0.0","5.620100486652317E-6","5.955073363340203E-7","9.304802130219068E-7","6.241661268950951E-5","6.736676742278605E-6"
